date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:36	5724/5724	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-165c%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/select2-bootstrap4.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/select2-bootstrap4.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:36	37858/37858	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-93e2%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/plyr.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/plyr.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:37	343751/343751	---MCZ	200	added ('OK')	text/css	etag:W/%2261900bcb-53ec7%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/styles.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/styles.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:37	77/77	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-4d%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/main.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/main.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:37	146/146	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261900b1d-92%22	https://acorn-html-classic-dashboard.coloredstrategies.com/js/base/loader.js	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/js/base/loader.js	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:38	5776/5776	---M--	200	added ('OK')	image/webp	etag:%2261900b1d-1690%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-9.webp	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-9.webp	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:38	12574/12574	---M--	200	added ('OK')	image/webp	etag:%2261900b1d-311e%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-1.webp	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-1.webp	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:38	12796/12796	---M--	200	added ('OK')	image/webp	etag:%2261900b1d-31fc%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-2.webp	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-2.webp	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:39	9522/9522	---M--	200	added ('OK')	image/webp	etag:%2261900b1d-2532%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-3.webp	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-3.webp	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:39	10042/10042	---M--	200	added ('OK')	image/webp	etag:%2261900b1d-273a%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-6.webp	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/profile/profile-6.webp	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
